Postcode,Response,Error
0822,"[{""id"": 11011, ""description"": ""ACACIA HILLS NT 0822""}, {""id"": 11295, ""description"": ""ANGURUGU NT 0822""}, {""id"": 11296, ""description"": ""ANINDILYAKWA NT 0822""}, {""id"": 10859, ""description"": ""BATHURST ISLAND NT 0822""}, {""id"": 10709, ""description"": ""BEES CREEK NT 0822""}, {""id"": 12093, ""description"": ""BELYUEN NT 0822""}, {""id"": 12296, ""description"": ""BLACK JUNGLE NT 0822""}, {""id"": 12395, ""description"": ""BLACKMORE NT 0822""}, {""id"": 8884, ""description"": ""BURRUNDIE NT 0822""}, {""id"": 9196, ""description"": ""BYNOE NT 0822""}, {""id"": 9197, ""description"": ""BYNOE HARBOUR NT 0822""}, {""id"": 9082, ""description"": ""CAMP CREEK NT 0822""}, {""id"": 8689, ""description"": ""CHANNEL ISLAND NT 0822""}, {""id"": 8768, ""description"": ""CHARLES DARWIN NT 0822""}, {""id"": 8779, ""description"": ""CHARLOTTE NT 0822""}, {""id"": 8660, ""description"": ""CLARAVALE NT 0822""}, {""id"": 10057, ""description"": ""COBOURG NT 0822""}, {""id"": 9849, ""description"": ""COLLETT CREEK NT 0822""}, {""id"": 10340, ""description"": ""COOMALIE CREEK NT 0822""}, {""id"": 9451, ""description"": ""COX PENINSULA NT 0822""}, {""id"": 9767, ""description"": ""DALY NT 0822""}, {""id"": 9830, ""description"": ""DALY RIVER NT 0822""}, {""id"": 9623, ""description"": ""DARWIN RIVER DAM NT 0822""}, {""id"": 15012, ""description"": ""DOUGLAS-DALY NT 0822""}, {""id"": 15394, ""description"": ""EAST ARM NT 0822""}, {""id"": 15393, ""description"": ""EAST ARNHEM NT 0822""}, {""id"": 14702, ""description"": ""ELRUNDIE NT 0822""}, {""id"": 14938, ""description"": ""EVA VALLEY NT 0822""}, {""id"": 14777, ""description"": ""FINNISS VALLEY NT 0822""}, {""id"": 14823, ""description"": ""FLEMING NT 0822""}, {""id"": 16212, ""description"": ""FLY CREEK NT 0822""}, {""id"": 16172, ""description"": ""FREDS PASS NT 0822""}, {""id"": 16106, ""description"": ""GALIWINKU NT 0822""}, {""id"": 15754, ""description"": ""GLYDE POINT NT 0822""}, {""id"": 15640, ""description"": ""GOULBURN ISLAND NT 0822""}, {""id"": 15881, ""description"": ""GUNBALANYA NT 0822""}, {""id"": 15899, ""description"": ""GUNN POINT NT 0822""}, {""id"": 13339, ""description"": ""HIDDEN VALLEY NT 0822""}, {""id"": 13273, ""description"": ""HOTHAM NT 0822""}, {""id"": 12611, ""description"": ""HUGHES NT 0822""}, {""id"": 12729, ""description"": ""KAKADU NT 0822""}, {""id"": 14241, ""description"": ""KOOLPINYAH NT 0822""}, {""id"": 13584, ""description"": ""LAKE BENNETT NT 0822""}, {""id"": 13524, ""description"": ""LAMBELLS LAGOON NT 0822""}, {""id"": 2754, ""description"": ""LITCHFIELD PARK NT 0822""}, {""id"": 2721, ""description"": ""LIVINGSTONE NT 0822""}, {""id"": 2730, ""description"": ""LLOYD CREEK NT 0822""}, {""id"": 2872, ""description"": ""MANDORAH NT 0822""}, {""id"": 2958, ""description"": ""MANINGRIDA NT 0822""}, {""id"": 2938, ""description"": ""MAPURU NT 0822""}, {""id"": 2235, ""description"": ""MARANUNGA NT 0822""}, {""id"": 2259, ""description"": ""MARGARET RIVER NT 0822""}, {""id"": 2316, ""description"": ""MARRAKAI NT 0822""}, {""id"": 2194, ""description"": ""MCMINNS LAGOON NT 0822""}, {""id"": 95126, ""description"": ""MICKET CREEK NT 0822""}, {""id"": 2341, ""description"": ""MIDDLE POINT NT 0822""}, {""id"": 2454, ""description"": ""MILIKAPITI NT 0822""}, {""id"": 2424, ""description"": ""MILINGIMBI NT 0822""}, {""id"": 3807, ""description"": ""MILYAKBURRA NT 0822""}, {""id"": 3814, ""description"": ""MINJILANG NT 0822""}, {""id"": 3951, ""description"": ""MOUNT BUNDEY NT 0822""}, {""id"": 3476, ""description"": ""MURRUMUJUK NT 0822""}, {""id"": 578, ""description"": ""NAUIYU NT 0822""}, {""id"": 624, ""description"": ""NEMARLUK NT 0822""}, {""id"": 970, ""description"": ""NGANMARRIYANGA NT 0822""}, {""id"": 256, ""description"": ""NUMBULWAR NT 0822""}, {""id"": 129, ""description"": ""NUMBURINDI NT 0822""}, {""id"": 76, ""description"": ""OENPELLI NT 0822""}, {""id"": 1558, ""description"": ""PEPPIMENARTI NT 0822""}, {""id"": 2007, ""description"": ""PIRLANGIMPI NT 0822""}, {""id"": 1873, ""description"": ""POINT STUART NT 0822""}, {""id"": 1276, ""description"": ""PULARUMPI NT 0822""}, {""id"": 1064, ""description"": ""RAKULA NT 0822""}, {""id"": 1133, ""description"": ""RAMINGINING NT 0822""}, {""id"": 1398, ""description"": ""ROBIN FALLS NT 0822""}, {""id"": 6739, ""description"": ""RUM JUNGLE NT 0822""}, {""id"": 7126, ""description"": ""SANDPALMS ROADHOUSE NT 0822""}, {""id"": 6601, ""description"": ""SOUTHPORT NT 0822""}, {""id"": 6536, ""description"": ""STAPLETON NT 0822""}, {""id"": 7459, ""description"": ""THAMARRURR NT 0822""}, {""id"": 7732, ""description"": ""TIPPERARY NT 0822""}, {""id"": 7741, ""description"": ""TIVENDALE NT 0822""}, {""id"": 7744, ""description"": ""TIWI ISLANDS NT 0822""}, {""id"": 7619, ""description"": ""TORTILLA FLATS NT 0822""}, {""id"": 4904, ""description"": ""TUMBLING WATERS NT 0822""}, {""id"": 4755, ""description"": ""UMBAKUMBA NT 0822""}, {""id"": 5133, ""description"": ""VERNON ISLANDS NT 0822""}, {""id"": 4939, ""description"": ""WADEYE NT 0822""}, {""id"": 4943, ""description"": ""WAGAIT BEACH NT 0822""}, {""id"": 5031, ""description"": ""WAK WAK NT 0822""}, {""id"": 4224, ""description"": ""WARRUWI NT 0822""}, {""id"": 4602, ""description"": ""WEDDELL NT 0822""}, {""id"": 4512, ""description"": ""WEST ARNHEM NT 0822""}, {""id"": 5724, ""description"": ""WICKHAM NT 0822""}, {""id"": 6200, ""description"": ""WINNELLIE NT 0822""}, {""id"": 6172, ""description"": ""WISHART NT 0822""}, {""id"": 5192, ""description"": ""WURRUMIYANGA NT 0822""}]",
0828,"[{""id"": 12118, ""description"": ""BERRIMAH NT 0828""}, {""id"": 14265, ""description"": ""KNUCKEY LAGOON NT 0828""}]",
0829,"[{""id"": 13213, ""description"": ""HOLTZE NT 0829""}, {""id"": 1964, ""description"": ""PINELANDS NT 0829""}]",
0830,"[{""id"": 11362, ""description"": ""ARCHER NT 0830""}, {""id"": 15108, ""description"": ""DRIVER NT 0830""}, {""id"": 15499, ""description"": ""DURACK NT 0830""}, {""id"": 14972, ""description"": ""FARRAR NT 0830""}, {""id"": 15971, ""description"": ""GRAY NT 0830""}, {""id"": 2224, ""description"": ""MARLOW LAGOON NT 0830""}, {""id"": 3945, ""description"": ""MOULDEN NT 0830""}, {""id"": 322, ""description"": ""PALMERSTON NT 0830""}, {""id"": 6371, ""description"": ""SHOAL BAY NT 0830""}, {""id"": 5353, ""description"": ""WOODROFFE NT 0830""}, {""id"": 5643, ""description"": ""YARRAWONGA NT 0830""}]",
0831,"[{""id"": 323, ""description"": ""PALMERSTON NT 0831""}]",
0832,"[{""id"": 10506, ""description"": ""BAKEWELL NT 0832""}, {""id"": 10679, ""description"": ""BELLAMACK NT 0832""}, {""id"": 15898, ""description"": ""GUNN NT 0832""}, {""id"": 12927, ""description"": ""JOHNSTON NT 0832""}, {""id"": 3846, ""description"": ""MITCHELL NT 0832""}, {""id"": 6880, ""description"": ""ROSEBERY NT 0832""}, {""id"": 5526, ""description"": ""ZUCCOLI NT 0832""}]",
0834,"[{""id"": 4976, ""description"": ""VIRGINIA NT 0834""}]",
0835,"[{""id"": 13284, ""description"": ""HOWARD SPRINGS NT 0835""}]",
0836,"[{""id"": 16430, ""description"": ""GIRRAWEEN NT 0836""}, {""id"": 13365, ""description"": ""HERBERT NT 0836""}, {""id"": 12607, ""description"": ""HUMPTY DOO NT 0836""}]",
0837,"[{""id"": 2940, ""description"": ""MANTON NT 0837""}, {""id"": 820, ""description"": ""NOONAMAH NT 0837""}]",
0838,"[{""id"": 12029, ""description"": ""BERRY SPRINGS NT 0838""}]",
0839,"[{""id"": 10242, ""description"": ""COOLALINGA NT 0839""}]",
0840,"[{""id"": 15426, ""description"": ""DUNDEE BEACH NT 0840""}, {""id"": 15410, ""description"": ""DUNDEE DOWNS NT 0840""}, {""id"": 15397, ""description"": ""DUNDEE FOREST NT 0840""}]",
0841,"[{""id"": 9622, ""description"": ""DARWIN RIVER NT 0841""}]",
0845,"[{""id"": 10850, ""description"": ""BATCHELOR NT 0845""}]",
0846,"[{""id"": 11024, ""description"": ""ADELAIDE RIVER NT 0846""}]",
0847,"[{""id"": 1946, ""description"": ""PINE CREEK NT 0847""}]",
0850,"[{""id"": 10174, ""description"": ""COSSACK NT 0850""}, {""id"": 14544, ""description"": ""EMUNGALAN NT 0850""}, {""id"": 14131, ""description"": ""KATHERINE NT 0850""}, {""id"": 14120, ""description"": ""KATHERINE EAST NT 0850""}, {""id"": 14121, ""description"": ""KATHERINE SOUTH NT 0850""}, {""id"": 13897, ""description"": ""LANSDOWNE NT 0850""}]",
0851,"[{""id"": 14118, ""description"": ""KATHERINE NT 0851""}]",
0852,"[{""id"": 11345, ""description"": ""ARNOLD NT 0852""}, {""id"": 10490, ""description"": ""BAINES NT 0852""}, {""id"": 10761, ""description"": ""BARUNGA NT 0852""}, {""id"": 11944, ""description"": ""BESWICK NT 0852""}, {""id"": 11945, ""description"": ""BESWICK CREEK NT 0852""}, {""id"": 11988, ""description"": ""BINJARI NT 0852""}, {""id"": 12329, ""description"": ""BIRDUM NT 0852""}, {""id"": 11501, ""description"": ""BRADSHAW NT 0852""}, {""id"": 11721, ""description"": ""BUCHANAN NT 0852""}, {""id"": 9038, ""description"": ""BULMAN WEEMOL NT 0852""}, {""id"": 9511, ""description"": ""CRESWELL NT 0852""}, {""id"": 9760, ""description"": ""DAGURAGU NT 0852""}, {""id"": 9768, ""description"": ""DALY WATERS NT 0852""}, {""id"": 9692, ""description"": ""DELAMERE NT 0852""}, {""id"": 14662, ""description"": ""EDITH NT 0852""}, {""id"": 14703, ""description"": ""ELSEY NT 0852""}, {""id"": 16206, ""description"": ""FLORINA NT 0852""}, {""id"": 16214, ""description"": ""FLYING FOX NT 0852""}, {""id"": 15994, ""description"": ""GREGORY NT 0852""}, {""id"": 15803, ""description"": ""GULUNG MARDRULK NT 0852""}, {""id"": 15851, ""description"": ""GURINDJI NT 0852""}, {""id"": 13015, ""description"": ""HELEN SPRINGS STATION NT 0852""}, {""id"": 12831, ""description"": ""JILKMINGGAN NT 0852""}, {""id"": 12694, ""description"": ""KALKARINDJI NT 0852""}, {""id"": 14119, ""description"": ""KATHERINE NT 0852""}, {""id"": 13672, ""description"": ""LAJAMANU NT 0852""}, {""id"": 13872, ""description"": ""LARRIMAH NT 0852""}, {""id"": 13809, ""description"": ""LIMMEN NT 0852""}, {""id"": 2865, ""description"": ""MANBULLOO NT 0852""}, {""id"": 2233, ""description"": ""MARANBOY NT 0852""}, {""id"": 2114, ""description"": ""MATARANKA NT 0852""}, {""id"": 2093, ""description"": ""MCARTHUR NT 0852""}, {""id"": 95144, ""description"": ""MINIYERRI NT 0852""}, {""id"": 1005, ""description"": ""NGUKURR NT 0852""}, {""id"": 990, ""description"": ""NITMILUK NT 0852""}, {""id"": 61, ""description"": ""NUTWOOD DOWNS NT 0852""}, {""id"": 1587, ""description"": ""PELLEW ISLANDS NT 0852""}, {""id"": 1978, ""description"": ""PIGEON HOLE NT 0852""}, {""id"": 1405, ""description"": ""ROBINSON RIVER NT 0852""}, {""id"": 7796, ""description"": ""STURT PLATEAU NT 0852""}, {""id"": 8082, ""description"": ""TANAMI EAST NT 0852""}, {""id"": 7664, ""description"": ""TIMBER CREEK NT 0852""}, {""id"": 7566, ""description"": ""TOP SPRINGS NT 0852""}, {""id"": 5068, ""description"": ""URALLA NT 0852""}, {""id"": 5120, ""description"": ""VENN NT 0852""}, {""id"": 4958, ""description"": ""VICTORIA RIVER NT 0852""}, {""id"": 4227, ""description"": ""WARUMUNGU NT 0852""}, {""id"": 6139, ""description"": ""WILTON NT 0852""}, {""id"": 5686, ""description"": ""YARRALIN NT 0852""}]",
0853,"[{""id"": 7662, ""description"": ""TINDAL NT 0853""}]",
0854,"[{""id"": 11605, ""description"": ""BORROLOOLA NT 0854""}]",
0860,"[{""id"": 7474, ""description"": ""TENNANT CREEK NT 0860""}]",
0861,"[{""id"": 7475, ""description"": ""TENNANT CREEK NT 0861""}]",
0862,"[{""id"": 9104, ""description"": ""CALVERT NT 0862""}, {""id"": 14688, ""description"": ""ELLIOTT NT 0862""}, {""id"": 960, ""description"": ""NEWCASTLE WATERS NT 0862""}, {""id"": 1015, ""description"": ""NICHOLSON NT 0862""}, {""id"": 370, ""description"": ""PAMAYU NT 0862""}, {""id"": 8252, ""description"": ""TABLELANDS NT 0862""}, {""id"": 7476, ""description"": ""TENNANT CREEK NT 0862""}]",
0870,"[{""id"": 10910, ""description"": ""ALICE SPRINGS NT 0870""}, {""id"": 11275, ""description"": ""ARALUEN NT 0870""}, {""id"": 11481, ""description"": ""BRAITLING NT 0870""}, {""id"": 8646, ""description"": ""CICCONE NT 0870""}, {""id"": 15174, ""description"": ""DESERT SPRINGS NT 0870""}, {""id"": 15367, ""description"": ""EAST SIDE NT 0870""}, {""id"": 16553, ""description"": ""GILLEN NT 0870""}, {""id"": 6852, ""description"": ""SADADEEN NT 0870""}, {""id"": 7974, ""description"": ""STUART NT 0870""}, {""id"": 7293, ""description"": ""THE GAP NT 0870""}, {""id"": 5889, ""description"": ""WHITE GUMS NT 0870""}]",
0871,"[{""id"": 10911, ""description"": ""ALICE SPRINGS NT 0871""}]",
0872,"[{""id"": 10906, ""description"": ""ALI CURUNG NT 0872""}, {""id"": 10912, ""description"": ""ALICE SPRINGS NT 0872""}, {""id"": 10980, ""description"": ""AMATA SA 0872""}, {""id"": 10935, ""description"": ""AMPILATWATJA NT 0872""}, {""id"": 16605, ""description"": ""ANANGU PITJANTJATJARA YANKUNYTJATJARA SA 0872""}, {""id"": 10943, ""description"": ""ANATYE NT 0872""}, {""id"": 11298, ""description"": ""ANMATJERE NT 0872""}, {""id"": 11379, ""description"": ""AREYONGA NT 0872""}, {""id"": 11153, ""description"": ""ATITJERE NT 0872""}, {""id"": 11212, ""description"": ""AYERS RANGE SOUTH SA 0872""}, {""id"": 10753, ""description"": ""BARROW CREEK NT 0872""}, {""id"": 8889, ""description"": ""BURT PLAIN NT 0872""}, {""id"": 8449, ""description"": ""CANTEEN CREEK NT 0872""}, {""id"": 8592, ""description"": ""CHILLA WELL NT 0872""}, {""id"": 10176, ""description"": ""COSTELLO NT 0872""}, {""id"": 9626, ""description"": ""DAVENPORT NT 0872""}, {""id"": 9586, ""description"": ""DE ROSE HILL SA 0872""}, {""id"": 14505, ""description"": ""ENGAWALA NT 0872""}, {""id"": 16606, ""description"": ""ERNABELLA (PUKATJA) SA 0872""}, {""id"": 14772, ""description"": ""FINKE NT 0872""}, {""id"": 16447, ""description"": ""GHAN NT 0872""}, {""id"": 16558, ""description"": ""GIBSON DESERT NORTH WA 0872""}, {""id"": 16496, ""description"": ""GIBSON DESERT SOUTH WA 0872""}, {""id"": 14491, ""description"": ""HAASTS BLUFF NT 0872""}, {""id"": 13116, ""description"": ""HALE NT 0872""}, {""id"": 13065, ""description"": ""HART NT 0872""}, {""id"": 13371, ""description"": ""HERMANNSBURG NT 0872""}, {""id"": 12595, ""description"": ""HUGH NT 0872""}, {""id"": 12675, ""description"": ""IMANPA NT 0872""}, {""id"": 16607, ""description"": ""INDULKANA (IWANTJA) SA 0872""}, {""id"": 12638, ""description"": ""ININTI STORE NT 0872""}, {""id"": 95022, ""description"": ""IRRUNYTJU WA 0872""}, {""id"": 12530, ""description"": ""IWANTJA SA 0872""}, {""id"": 12690, ""description"": ""KALKA SA 0872""}, {""id"": 12706, ""description"": ""KALTJITI SA 0872""}, {""id"": 12707, ""description"": ""KALTUKATJARA NT 0872""}, {""id"": 95023, ""description"": ""KANPA WA 0872""}, {""id"": 12750, ""description"": ""KANPI SA 0872""}, {""id"": 14482, ""description"": ""KINTORE NT 0872""}, {""id"": 14445, ""description"": ""KIWIRRKURRA WA 0872""}, {""id"": 13619, ""description"": ""KULGERA NT 0872""}, {""id"": 13645, ""description"": ""KUNPARRKA NT 0872""}, {""id"": 13472, ""description"": ""LAKE MACKAY NT 0872""}, {""id"": 13525, ""description"": ""LAMBINA SA 0872""}, {""id"": 13857, ""description"": ""LARAMBA NT 0872""}, {""id"": 3007, ""description"": ""MACDONNELL RANGE NT 0872""}, {""id"": 95024, ""description"": ""MANTAMARU WA 0872""}, {""id"": 2567, ""description"": ""MEREENIE NT 0872""}, {""id"": 3809, ""description"": ""MIMILI SA 0872""}, {""id"": 3311, ""description"": ""MOUNT LIEBIG NT 0872""}, {""id"": 3233, ""description"": ""MOUNT ZEIL NT 0872""}, {""id"": 3370, ""description"": ""MURPUTJA SA 0872""}, {""id"": 3431, ""description"": ""MUTITJULU NT 0872""}, {""id"": 655, ""description"": ""NAMATJIRA NT 0872""}, {""id"": 763, ""description"": ""NAPPERBY STATION NT 0872""}, {""id"": 968, ""description"": ""NGAANYATJARRA-GILES WA 0872""}, {""id"": 15, ""description"": ""NYAPARI SA 0872""}, {""id"": 5, ""description"": ""NYIRRIPI NT 0872""}, {""id"": 95025, ""description"": ""PAPULANKUTJA WA 0872""}, {""id"": 325, ""description"": ""PAPUNYA NT 0872""}, {""id"": 1809, ""description"": ""PATJARR WA 0872""}, {""id"": 1670, ""description"": ""PETERMANN NT 0872""}, {""id"": 2063, ""description"": ""PIPALYATJARA SA 0872""}, {""id"": 1275, ""description"": ""PUKATJA SA 0872""}, {""id"": 7124, ""description"": ""SANDOVER NT 0872""}, {""id"": 7221, ""description"": ""SANTA TERESA NT 0872""}, {""id"": 6446, ""description"": ""SIMPSON NT 0872""}, {""id"": 8080, ""description"": ""TANAMI NT 0872""}, {""id"": 8085, ""description"": ""TARA NT 0872""}, {""id"": 7386, ""description"": ""TELEGRAPH STATION NT 0872""}, {""id"": 7672, ""description"": ""TI TREE NT 0872""}, {""id"": 7686, ""description"": ""TIEYON SA 0872""}, {""id"": 7739, ""description"": ""TITJIKALA NT 0872""}, {""id"": 7745, ""description"": ""TJIRRKARLI WA 0872""}, {""id"": 7746, ""description"": ""TJUKURLA WA 0872""}, {""id"": 4759, ""description"": ""UMUWA SA 0872""}, {""id"": 5000, ""description"": ""WALLACE ROCKHOLE NT 0872""}, {""id"": 4370, ""description"": ""WANARN WA 0872""}, {""id"": 95026, ""description"": ""WARAKURNA WA 0872""}, {""id"": 4563, ""description"": ""WATARRU SA 0872""}, {""id"": 4532, ""description"": ""WATINUMA SA 0872""}, {""id"": 5784, ""description"": ""WILLOWRA NT 0872""}, {""id"": 6126, ""description"": ""WILORA NT 0872""}, {""id"": 6183, ""description"": ""WINGELLINA WA 0872""}, {""id"": 5196, ""description"": ""WUTUNUGURRA NT 0872""}, {""id"": 5529, ""description"": ""YUELAMU NT 0872""}, {""id"": 5528, ""description"": ""YUENDUMU NT 0872""}, {""id"": 5500, ""description"": ""YULARA NT 0872""}, {""id"": 5527, ""description"": ""YUNYARINYI SA 0872""}]",
0873,"[{""id"": 10962, ""description"": ""AMOONGUNA NT 0873""}, {""id"": 11170, ""description"": ""ARUMBERA NT 0873""}, {""id"": 10265, ""description"": ""CONNELLAN NT 0873""}, {""id"": 13016, ""description"": ""HEAVITREE GAP CPA NT 0873""}, {""id"": 12671, ""description"": ""ILPARPA NT 0873""}, {""id"": 14051, ""description"": ""KILGARIFF NT 0873""}, {""id"": 6923, ""description"": ""ROSS NT 0873""}]",
0874,"[{""id"": 12423, ""description"": ""IRLPME NT 0874""}, {""id"": 3357, ""description"": ""MOUNT JOHNS NT 0874""}, {""id"": 4770, ""description"": ""UNDOOLYA NT 0874""}]",
0875,"[{""id"": 16216, ""description"": ""FLYNN NT 0875""}, {""id"": 13844, ""description"": ""LARAPINTA NT 0875""}]",
0880,"[{""id"": 16150, ""description"": ""GAPUWIYAK NT 0880""}, {""id"": 15878, ""description"": ""GUNYANGARA NT 0880""}, {""id"": 1008, ""description"": ""NHULUNBUY NT 0880""}, {""id"": 5496, ""description"": ""YIRRKALA NT 0880""}]",
0881,"[{""id"": 1009, ""description"": ""NHULUNBUY NT 0881""}]",
0885,"[{""id"": 10974, ""description"": ""ALYANGULA NT 0885""}]",
0886,"[{""id"": 12531, ""description"": ""JABIRU NT 0886""}]",
0906,"[{""id"": 6201, ""description"": ""WINNELLIE NT 0906""}]",
0907,"[{""id"": 6202, ""description"": ""WINNELLIE NT 0907""}]",
0909,"[{""id"": 8770, ""description"": ""CHARLES DARWIN UNIVERSITY NT 0909""}]",
1001,[],
1002,[],
1003,[],
1004,[],
1005,[],
1006,[],
1007,[],
1008,[],
1009,[],
1010,[],
1020,[],
1021,[],
1022,[],
1023,[],
1025,[],
1026,[],
1027,[],
1028,[],
1029,[],
1030,[],
1031,[],
1032,[],
1033,[],
1034,[],
1035,[],
1036,[],
1037,[],
1038,[],
1039,[],
1040,[],
1041,[],
1042,[],
1043,[],
1044,[],
1045,[],
1046,[],
1100,"[{""id"": 8195, ""description"": ""SYDNEY NSW 1100""}]",
1101,[],
1105,[],
1106,[],
1107,[],
1108,[],
1109,[],
1110,[],
1112,[],
1113,[],
1114,[],
1115,[],
1116,[],
1117,[],
1118,[],
1119,[],
1120,[],
1121,[],
1122,[],
1123,[],
1124,[],
1125,[],
1126,[],
1127,[],
1128,[],
1129,[],
1130,[],
1131,[],
1132,[],
1133,[],
1134,[],
1135,[],
1136,[],
1137,[],
1138,[],
1139,[],
1140,[],
1141,[],
1142,[],
1143,[],
1144,[],
1145,[],
1146,[],
1147,[],
1148,[],
1149,[],
1150,[],
1151,[],
1152,[],
1153,[],
1154,[],
1155,[],
1156,[],
1157,[],
1158,[],
1159,[],
1160,[],
1161,[],
1162,[],
1163,[],
1164,[],
1165,[],
1166,[],
1167,[],
1168,[],
1169,[],
1170,[],
1171,[],
1172,[],
1173,[],
1174,[],
1175,[],
1176,[],
1177,[],
1178,[],
1179,[],
1180,[],
1181,[],
1182,[],
1183,[],
1184,[],
1185,[],
1186,[],
1187,[],
1188,[],
1189,[],
1190,[],
1191,[],
1192,[],
1193,[],
1194,[],
1195,[],
1196,[],
1197,[],
1198,[],
1199,[],
1201,[],
1202,[],
1203,[],
1205,[],
1207,[],
1208,[],
1209,[],
1210,[],
1211,[],
1212,[],
1213,[],
1214,[],
1215,"[{""id"": 11246, ""description"": ""AUSTRALIA SQUARE NSW 1215""}]",
1216,[],
1217,[],
1218,[],
1219,[],
1220,"[{""id"": 15844, ""description"": ""GROSVENOR PLACE NSW 1220""}]",
1221,[],
1222,[],
1223,[],
1224,[],
1225,"[{""id"": 6780, ""description"": ""ROYAL EXCHANGE NSW 1225""}]",
1226,[],
1227,[],
1228,[],
1229,[],
1230,"[{""id"": 1081, ""description"": ""QUEEN VICTORIA BUILDING NSW 1230""}]",
1231,"[{""id"": 8168, ""description"": ""SYDNEY SOUTH NSW 1231""}]",
1232,[],
1233,[],
1234,[],
1235,"[{""id"": 8169, ""description"": ""SYDNEY SOUTH NSW 1235""}]",
1236,[],
1237,[],
1238,[],
1239,"[{""id"": 12963, ""description"": ""HAYMARKET NSW 1239""}]",
1240,"[{""id"": 12964, ""description"": ""HAYMARKET NSW 1240""}]",
1291,"[{""id"": 8161, ""description"": ""SYDNEY NSW 1291""}]",
1292,[],
1293,[],
1294,[],
1295,[],
1296,[],
1297,[],
1298,[],
1299,[],
1300,"[{""id"": 9790, ""description"": ""DARLINGHURST NSW 1300""}]",
1314,[],
1335,"[{""id"": 1209, ""description"": ""POTTS POINT NSW 1335""}]",
1340,"[{""id"": 14364, ""description"": ""KINGS CROSS NSW 1340""}]",
1350,"[{""id"": 5333, ""description"": ""WOOLLAHRA NSW 1350""}]",
1355,"[{""id"": 12237, ""description"": ""BONDI JUNCTION NSW 1355""}]",
1360,"[{""id"": 15062, ""description"": ""DOUBLE BAY NSW 1360""}]",
1401,[],
1419,[],
1420,[],
1422,[],
1423,[],
1424,[],
1425,[],
1426,[],
1427,[],
1428,[],
1429,[],
1430,[],
1435,"[{""id"": 10997, ""description"": ""ALEXANDRIA NSW 1435""}]",
1440,[],
1441,[],
